station,lat,date,sza,dt_min,T305,T310,T324,T380,tau
MaunaLoa,19.536,2018-02-18,39.0,17.0,0.486,0.468,0.457,,6.95
MaunaLoa,19.536,2018-03-06,33.1,6.0,0.587,1.167,1.098,,8.34
MaunaLoa,19.536,2018-03-22,29.4,6.0,0.236,0.221,0.214,,17.36
MaunaLoa,19.536,2018-04-07,26.7,6.0,0.154,0.167,0.163,,19.82
MaunaLoa,19.536,2018-05-12,16.2,4.0,0.889,0.818,0.737,,13.56
MaunaLoa,19.536,2018-05-28,15.7,5.0,0.912,0.937,1.022,,3.56
MaunaLoa,19.536,2018-06-13,15.3,5.0,0.256,0.316,0.437,,16.44
MaunaLoa,19.536,2018-06-29,16.8,5.0,0.22,0.241,0.243,,13.48
MaunaLoa,19.536,2018-07-15,13.7,5.0,0.224,0.241,0.272,,15.9
MaunaLoa,19.536,2018-07-31,13.7,5.0,0.243,0.253,0.258,,14.06
MaunaLoa,19.536,2018-08-16,17.9,6.0,0.69,0.922,1.207,,13.31
MaunaLoa,19.536,2018-09-01,19.3,5.0,0.937,0.974,0.979,,0.0
MaunaLoa,19.536,2018-09-17,24.4,5.0,0.946,0.976,0.976,,0.0
MaunaLoa,19.536,2018-10-03,30.3,3.0,1.058,1.019,0.964,,0.0
MaunaLoa,19.536,2018-10-19,36.3,1.0,0.592,0.63,0.625,,27.42
MaunaLoa,19.536,2018-11-04,40.5,4.0,0.174,0.187,0.218,,25.21
MaunaLoa,19.536,2018-11-20,44.0,1.0,1.011,1.005,1.017,,0.0
MaunaLoa,19.536,2018-12-06,45.8,2.0,1.217,1.099,1.018,,0.0
Tateno,36.058,2019-01-01,61.9,20.0,1.319,1.183,1.058,,0.0
Tateno,36.058,2019-01-17,59.3,20.0,1.4,1.207,1.015,,0.0
Tateno,36.058,2019-02-02,55.3,20.0,0.79,0.891,1.016,,0.0
Tateno,36.058,2019-02-18,50.3,20.0,1.4,1.191,1.007,,0.0
Tateno,36.058,2019-03-06,44.9,20.0,0.817,0.733,0.631,,4.87
Tateno,36.058,2019-03-22,39.5,25.0,1.28,1.095,0.898,,5.7
Tateno,36.058,2019-04-07,34.4,25.0,0.831,0.858,0.866,,0.0
Tateno,36.058,2019-04-23,30.0,20.0,1.012,0.978,0.951,,5.2
Tateno,36.058,2019-05-09,26.4,20.0,0.506,0.555,0.57,,8.03
Tateno,36.058,2019-05-25,23.8,20.0,0.808,0.875,0.92,,0.0
Tateno,36.058,2019-06-10,21.9,20.0,0.03,0.059,0.114,,64.38
Tateno,36.058,2019-06-26,21.1,20.0,0.899,0.968,1.006,,0.0
Tateno,36.058,2019-07-12,21.5,20.0,0.292,0.347,0.396,,14.89
Tateno,36.058,2019-07-28,23.6,20.0,1.112,1.075,1.041,,0.75
Tateno,36.058,2019-08-13,27.2,20.0,1.15,1.128,1.12,,0.96
Tateno,36.058,2019-08-29,32.1,20.0,1.111,1.049,1.021,,4.04
Tateno,36.058,2019-09-11,36.8,10.0,0.79,0.799,0.821,,8.12
Tateno,36.058,2019-09-27,43.0,10.0,0.889,0.775,0.876,,0.0
Tateno,36.058,2019-10-16,50.1,20.0,0.815,0.751,0.688,,5.12
Tateno,36.058,2019-10-31,55.1,20.0,0.666,0.59,0.56,,21.01
Tateno,36.058,2019-11-16,59.2,20.0,1.044,1.011,1.002,,0.0
Tateno,36.058,2019-12-02,61.9,20.0,0.25,0.246,0.234,,91.81
Uccle,50.8,2022-01-01,78.0,10.0,1.4,1.4,0.97,,1.06
Uccle,50.8,2022-01-17,74.1,9.0,1.278,1.251,1.07,,1.91
Uccle,50.8,2022-02-02,71.2,9.0,0.545,0.444,0.368,,38.35
Uccle,50.8,2022-02-18,66.2,9.0,0.477,0.438,0.35,,27.08
Uccle,50.8,2022-03-06,59.2,12.0,0.904,0.958,0.965,,1.2
Uccle,50.8,2022-03-23,51.0,9.0,1.053,1.038,1.002,,0.0
Uccle,50.8,2022-04-29,38.7,4.0,0.596,0.687,0.746,,4.07
Uccle,50.8,2022-05-15,34.5,0.0,0.688,0.797,0.845,,0.78
Uccle,50.8,2022-05-31,31.3,3.0,0.481,0.551,0.576,,8.53
Uccle,50.8,2022-06-17,32.9,8.0,0.992,0.999,0.937,,0.86
Uccle,50.8,2022-07-03,32.8,5.0,0.602,0.697,0.696,,27.39
Uccle,50.8,2022-07-19,34.5,0.0,0.891,0.941,0.93,,0.0
Uccle,50.8,2022-08-04,37.9,0.0,0.793,0.879,0.807,,1.82
Uccle,50.8,2022-08-20,42.4,3.0,1.139,1.102,1.036,,0.0
Uccle,50.8,2022-09-05,48.0,7.0,0.764,0.685,0.678,,5.67
Uccle,50.8,2022-09-21,54.2,12.0,1.191,0.96,0.974,,9.02
Uccle,50.8,2022-10-07,58.8,7.0,1.324,1.142,1.053,,0.0
Uccle,50.8,2022-10-23,64.8,3.0,0.975,0.904,0.84,,2.22
Uccle,50.8,2022-11-08,69.7,1.0,1.158,1.064,0.885,,1.94
Uccle,50.8,2022-11-24,73.4,6.0,0.851,0.973,1.035,,2.62
Uccle,50.8,2022-12-10,75.1,4.0,0.315,0.348,0.483,,14.68
Lauder,-45.038,2018-01-01,35.0,8.0,0.96,0.984,1.01,1.017,0.0
Lauder,-45.038,2018-01-17,35.0,3.0,1.112,1.101,1.09,1.138,0.0
Lauder,-45.038,2018-02-02,35.0,16.0,0.245,0.27,0.283,0.251,4.17
Lauder,-45.038,2018-02-18,40.0,12.0,1.122,1.057,1.018,1.007,0.0
Lauder,-45.038,2018-03-06,50.0,19.0,0.346,0.338,0.335,0.288,16.9
Lauder,-45.038,2018-03-22,55.0,12.0,0.149,0.157,0.162,0.135,25.1
Lauder,-45.038,2018-04-07,60.0,3.0,1.276,1.118,1.016,1.001,0.0
Lauder,-45.038,2018-04-23,65.0,2.0,1.308,1.133,0.978,0.973,0.0
Lauder,-45.038,2018-05-09,70.0,7.0,0.948,1.003,0.988,0.998,0.0
Lauder,-45.038,2018-05-25,75.0,24.0,0.331,0.412,0.583,0.548,5.36
Lauder,-45.038,2018-06-10,75.0,9.0,0.34,0.396,0.437,0.376,7.84
Lauder,-45.038,2018-06-26,75.0,9.0,1.363,1.151,0.914,0.797,20.09
Lauder,-45.038,2018-07-12,75.0,24.0,1.148,1.096,1.015,1.002,0.0
Lauder,-45.038,2018-07-28,70.0,4.0,0.78,0.843,0.843,0.768,4.73
Lauder,-45.038,2018-08-13,65.0,16.0,0.534,0.529,0.491,0.424,24.11
Lauder,-45.038,2018-08-29,60.0,21.0,0.994,0.865,0.744,0.667,3.78
Lauder,-45.038,2018-09-14,55.0,17.0,1.158,1.065,0.986,0.967,0.0
Lauder,-45.038,2018-09-30,50.0,18.0,0.434,0.436,0.43,0.38,18.67
Lauder,-45.038,2018-10-16,50.0,17.0,0.958,0.896,0.853,0.784,1.15
Lauder,-45.038,2018-11-01,45.0,11.0,0.824,0.91,1.001,1.006,0.0
Lauder,-45.038,2018-11-17,40.0,2.0,0.605,0.634,0.656,0.6,7.98
Lauder,-45.038,2018-12-03,35.0,10.0,0.944,1.003,1.068,1.108,6.86
